# Bearings,Reorientation_Speeds
1.125293544297595645e+02,7.200000000000005684e+01
1.145877215929002659e+02,7.200000000000005684e+01
1.165805960388755977e+02,7.200000000000005684e+01
1.185064651579273800e+02,7.200000000000005684e+01
1.203645207573954110e+02,7.200000000000005684e+01
1.221545802576182211e+02,7.200000000000005684e+01
1.238770046618662377e+02,7.200000000000005684e+01
1.255326169698905687e+02,7.200000000000005684e+01
1.271226238485840270e+02,7.200000000000005684e+01
1.271226238485840270e+02,0.000000000000000000e+00
1.286485425590052785e+02,0.000000000000000000e+00
1.301121344185353905e+02,0.000000000000000000e+00
1.315153454768149004e+02,0.000000000000000000e+00
1.328602546114325094e+02,0.000000000000000000e+00
1.341490288978236549e+02,0.000000000000000000e+00
1.353838858632611561e+02,0.000000000000000000e+00
1.365670620792807597e+02,0.000000000000000000e+00
1.377007874618036567e+02,0.000000000000000000e+00
1.387872646162725232e+02,0.000000000000000000e+00
1.398286525712267121e+02,0.000000000000000000e+00
1.408270542754897008e+02,0.000000000000000000e+00
1.417845072817561345e+02,0.000000000000000000e+00
1.427029770954625292e+02,0.000000000000000000e+00
1.435843527270720870e+02,0.000000000000000000e+00
1.444304440446086062e+02,0.000000000000000000e+00
1.452429805790497710e+02,0.000000000000000000e+00
1.460236114866011121e+02,0.000000000000000000e+00
1.460236114866011121e+02,0.000000000000000000e+00
1.502771140663387541e+02,0.000000000000000000e+00
1.530600335899616198e+02,0.000000000000000000e+00
8.146949306698382998e+01,0.000000000000000000e+00
8.330181070957382872e+01,7.200000000000000000e+01
8.514799120805889743e+01,7.200000000000000000e+01
8.700432308102648449e+01,7.200000000000000000e+01
8.886696902038499957e+01,7.200000000000000000e+01
9.073201240767249942e+01,7.200000000000000000e+01
9.259550629899703722e+01,7.200000000000000000e+01
9.445352336342932631e+01,7.200000000000000000e+01
9.630220520414962948e+01,7.200000000000000000e+01
9.813780952763710275e+01,7.200000000000000000e+01
9.813780952763710275e+01,0.000000000000000000e+00
9.995675375035079924e+01,0.000000000000000000e+00
1.017556538333061837e+02,0.000000000000000000e+00
1.035313573947925931e+02,0.000000000000000000e+00
1.052809704480717414e+02,0.000000000000000000e+00
1.070018774205536545e+02,0.000000000000000000e+00
1.086917544110781080e+02,0.000000000000000000e+00
1.103485759132392445e+02,0.000000000000000000e+00
1.119706154607315227e+02,0.000000000000000000e+00
1.135564408265803991e+02,0.000000000000000000e+00
1.151049045284079284e+02,0.000000000000000000e+00
1.166151304581691193e+02,0.000000000000000000e+00
1.166151304581691193e+02,0.000000000000000000e+00
1.185960928641763701e+02,0.000000000000000000e+00
1.174257562458359132e+02,0.000000000000000000e+00
3.980082985840385845e+01,0.000000000000000000e+00
4.146198810111226862e+01,7.200000000000002842e+01
4.323978499075707305e+01,7.200000000000002842e+01
4.514314510164015815e+01,7.200000000000002842e+01
4.718118415894815598e+01,7.200000000000002842e+01
4.936298402597338963e+01,7.200000000000002842e+01
5.169727848526528646e+01,7.200000000000002842e+01
5.419203317196712533e+01,7.200000000000002842e+01
5.685390712766718480e+01,7.200000000000002842e+01
5.968759281825691687e+01,7.200000000000002842e+01
5.968759281825691687e+01,0.000000000000000000e+00
6.269504793325117475e+01,0.000000000000000000e+00
6.587465694012658446e+01,0.000000000000000000e+00
6.922039230693027889e+01,0.000000000000000000e+00
7.272108015156018723e+01,0.000000000000000000e+00
7.635990390060891286e+01,0.000000000000000000e+00
8.011428944721100720e+01,0.000000000000000000e+00
8.395629288925948686e+01,0.000000000000000000e+00
9.379656493046684318e+01,0.000000000000000000e+00
9.742295182422677158e+01,-6.000000000000028422e+00
1.009905784624378668e+02,-6.000000000000028422e+00
1.044740611027082764e+02,-6.000000000000028422e+00
1.078516535730189503e+02,-6.000000000000028422e+00
1.111058202476533836e+02,-6.000000000000028422e+00
1.187067330664854978e+02,-6.000000000000028422e+00
1.214107291072682244e+02,-1.200000000000000000e+01
1.239674623075078728e+02,-1.200000000000000000e+01
1.263792781864598851e+02,-1.200000000000000000e+01
1.286503180642643258e+02,-5.999999999999971578e+00
1.307860253291952688e+02,-5.999999999999971578e+00
1.308702044230348349e+02,-5.999999999999971578e+00
1.307635331869495587e+02,-5.999999999999971578e+00
1.305155314906320712e+02,-5.999999999999971578e+00
1.301645821001445427e+02,-5.999999999999971578e+00
1.301645821001445427e+02,0.000000000000000000e+00
1.338323281692331932e+02,0.000000000000000000e+00
1.373332738873512255e+02,0.000000000000000000e+00
1.406614133902323545e+02,0.000000000000000000e+00
1.438121447280915675e+02,0.000000000000000000e+00
1.467818819348332511e+02,0.000000000000000000e+00
1.495676913281653526e+02,0.000000000000000000e+00
1.521669674749961985e+02,0.000000000000000000e+00
1.545771583752515141e+02,0.000000000000000000e+00
1.545771583752515141e+02,0.000000000000000000e+00
1.540027266532317469e+02,0.000000000000000000e+00
1.533471714742018150e+02,0.000000000000000000e+00
1.526329102396437349e+02,0.000000000000000000e+00
1.518781756300324730e+02,0.000000000000000000e+00
1.510981878624515673e+02,0.000000000000000000e+00
1.510981878624515673e+02,0.000000000000000000e+00
1.445877177786203163e+02,0.000000000000000000e+00
1.379570617770819752e+02,0.000000000000000000e+00
1.315957563720695305e+02,0.000000000000000000e+00
1.259641376830641946e+02,0.000000000000000000e+00
-1.122736361047603566e+02,0.000000000000000000e+00
-1.141304017253135896e+02,-1.260000000000000426e+02
-1.159347969094542066e+02,-1.260000000000000426e+02
-1.176855805311531640e+02,-1.260000000000000426e+02
-1.193819838795495514e+02,-1.260000000000000426e+02
-1.210236661045759092e+02,-1.260000000000000426e+02
-1.226106670416942279e+02,-1.260000000000000426e+02
-1.241433593245061786e+02,-1.260000000000000426e+02
-1.256224013356964235e+02,-1.260000000000000426e+02
-1.270486921885668892e+02,-1.260000000000000426e+02
-1.270486921885668892e+02,0.000000000000000000e+00
-1.284233295970166751e+02,0.000000000000000000e+00
-1.297475711962327409e+02,0.000000000000000000e+00
-1.310227996272134590e+02,0.000000000000000000e+00
-1.322504914974734049e+02,0.000000000000000000e+00
-1.334321901757649869e+02,0.000000000000000000e+00
-1.345694822657721375e+02,0.000000000000000000e+00
-1.356639775265490755e+02,0.000000000000000000e+00
-1.356639775265490755e+02,0.000000000000000000e+00
-1.395612321182093467e+02,0.000000000000000000e+00
-1.414308054834639563e+02,0.000000000000000000e+00
-6.805376786100680420e+01,0.000000000000000000e+00
-7.014439703473334475e+01,-7.200000000000005684e+01
-7.229158585884761123e+01,-7.200000000000005684e+01
-7.449139539709267410e+01,-7.200000000000005684e+01
-7.673907345675573310e+01,-7.200000000000005684e+01
-7.902907233956119626e+01,-7.200000000000005684e+01
-8.135509556402502085e+01,-7.200000000000005684e+01
-8.371017481121208448e+01,-7.200000000000005684e+01
-8.608677631896895832e+01,-7.200000000000005684e+01
-8.847693370881503938e+01,-7.200000000000005684e+01
-8.847693370881503938e+01,0.000000000000000000e+00
-9.087240202503690512e+01,0.000000000000000000e+00
-9.326482587772835586e+01,0.000000000000000000e+00
-9.564591327216879790e+01,0.000000000000000000e+00
-9.800760616735902886e+01,0.000000000000000000e+00
